state,Year,Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,state,RUCA_Cd,Breakout_Type,Breakout,Tot_Prscrbrs,Tot_Opioid_Prscrbrs,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg,range_category,2017_age_adjusted_rate,2017_num_deaths,Normalized_Death_Rate,Normalized_Long-Acting_Rate,Normalized_Tot_Opioid_Clms
Louisiana,2017,State,22.0,Louisiana,,Totals,Overall,16606.0,12658.0,1493777.0,26797415.0,5.57,,-0.25,126033.0,8.44,,-0.24,21.1 to 57.0,24.5,"1,108",24.886192834752983,2830.7595140274575,33550.92281057654
Maine,2017,State,23.0,Maine,,Totals,Overall,6115.0,4322.0,351854.0,6941704.0,5.07,,-0.51,63897.0,18.16,,-0.72,21.1 to 57.0,34.4,424,9.078140522763865,1368.0800589222706,7533.443527114522
Maryland,2017,State,24.0,Maryland,,Totals,Overall,23213.0,16575.0,1045696.0,19129487.0,5.47,,-0.36,183176.0,17.52,,-0.23,21.1 to 57.0,36.3,"2,247",168.36353936574824,13725.037688856386,78352.06037410125
Massachusetts,2017,State,25.0,Massachusetts,,Totals,Overall,35678.0,23646.0,1251971.0,35001772.0,3.58,,-0.34,192973.0,15.41,,-0.2,21.1 to 57.0,31.8,"2,168",35.99016445911497,3203.473250077857,20783.506544300108
Michigan,2017,State,26.0,Michigan,,Totals,Overall,41803.0,32411.0,3188318.0,50634396.0,6.3,,-0.45,383610.0,12.03,,-0.53,21.1 to 57.0,27.8,"2,694",39.2723449657125,5592.154510874897,46478.36835797719
Minnesota,2017,State,27.0,Minnesota,,Totals,Overall,22141.0,16126.0,1000691.0,22459302.0,4.46,,-0.37,136542.0,13.64,,-0.92,11.1 to 13.5,13.3,733,7.349760566258442,1369.1009648541067,10033.887108880937
Mississippi,2017,State,28.0,Mississippi,,Totals,Overall,9151.0,7103.0,1035340.0,18499135.0,5.6,,-0.39,86579.0,8.36,,-0.26,11.1 to 13.5,12.2,354,6.359780318096808,1555.4333902839085,18600.381227509464
Missouri,2017,State,29.0,Missouri,,Totals,Overall,21675.0,14488.0,1961972.0,36564674.0,5.37,,-0.19,238477.0,12.15,,-0.17,21.1 to 57.0,23.4,"1,367",45.74185798274056,7979.795951828837,65650.50811273846
Montana,2017,State,30.0,Montana,,Totals,Overall,3914.0,3041.0,255938.0,4263512.0,6.0,,-0.36,39523.0,15.44,,-1.37,11.1 to 13.5,11.7,119,1.9486888926370673,647.2103454092,4191.122166418031
Nebraska,2017,State,31.0,Nebraska,,Totals,Overall,7066.0,5373.0,437574.0,9734364.0,4.5,,-0.22,61492.0,14.05,,-0.24,6.9 to 11.0,8.1,152,14.44205221561984,5842.570229229574,41575.43786972129
Nevada,2017,State,32.0,Nevada,,Totals,Overall,7913.0,6174.0,695578.0,9615489.0,7.23,,-0.27,97444.0,14.01,,-0.49,21.1 to 57.0,21.6,676,35.28281314671022,5085.944444183477,36304.65769668994
New Hampshire,2017,State,33.0,New Hampshire,,Totals,Overall,5989.0,4152.0,264953.0,5784538.0,4.58,,-0.55,55540.0,20.96,,0.22,21.1 to 57.0,37.0,467,15.724408693207359,1870.0934878388364,8921.261791202076
New Jersey,2017,State,34.0,New Jersey,,Totals,Overall,31575.0,20935.0,1385340.0,36549718.0,3.79,,-0.28,227400.0,16.41,,-0.16,21.1 to 57.0,30.0,"2,685",199.0677549531542,16859.593101060436,102710.06467292462
New Mexico,2017,State,35.0,New Mexico,,Totals,Overall,7351.0,5421.0,425586.0,7422218.0,5.73,,-0.52,47515.0,11.16,,-1.04,21.1 to 57.0,24.8,493,5.548349703590953,534.7461179840245,4789.655085096267
New York,2017,State,36.0,New York,,Totals,Overall,92524.0,53481.0,2789079.0,97934406.0,2.85,,-0.16,393410.0,14.11,,-0.46,16.1 to 18.5,19.4,"3,921",187.4476523388648,18807.391202915787,133334.94280480203
North Carolina,2017,State,37.0,North Carolina,,Totals,Overall,35629.0,27910.0,3054934.0,53792182.0,5.68,,-0.3,402831.0,13.19,,-0.3,18.6 to 21.0,24.1,"2,414",12.322882807240504,2056.354268485294,15594.6949734277
North Dakota,2017,State,38.0,North Dakota,,Totals,Overall,2942.0,2150.0,148028.0,3785207.0,3.91,,-0.32,22786.0,15.39,,-1.84,6.9 to 11.0,9.2,68,0.6622366282494758,221.9077031072435,1441.61122950755
Ohio,2017,State,39.0,Ohio,,Totals,Overall,45376.0,32951.0,2983137.0,64269934.0,4.64,,-0.44,308861.0,10.35,,-0.16,21.1 to 57.0,46.3,"5,111",677.0056507652243,40911.88462160007,395147.83917175094
Oklahoma,2017,State,40.0,Oklahoma,,Totals,Overall,12041.0,9056.0,1267837.0,17893173.0,7.09,,-0.25,176889.0,13.95,,-0.26,18.6 to 21.0,20.1,775,6.64685475121466,1517.103858177561,10873.714048020309
Oregon,2017,State,41.0,Oregon,,Totals,Overall,16408.0,12242.0,1102822.0,16967684.0,6.5,,-0.47,163165.0,14.8,,-1.53,11.1 to 13.5,12.4,530,13.481490676404542,4150.391370218013,28052.23492591285
Pennsylvania,2017,State,42.0,Pennsylvania,,Totals,Overall,57584.0,37743.0,3289886.0,75707853.0,4.35,,-0.38,516612.0,15.7,,0.0,21.1 to 57.0,44.3,"5,388",130.03107182720444,12467.634016109083,79396.32568101602
Rhode Island,2017,State,44.0,Rhode Island,,Totals,Overall,4960.0,3440.0,205316.0,6298960.0,3.26,,-0.29,23700.0,11.54,,-0.38,21.1 to 57.0,31.0,320,2.5024162001419965,185.3351998230166,1605.5815142136069
South Carolina,2017,State,45.0,South Carolina,,Totals,Overall,15773.0,12072.0,1486821.0,26342610.0,5.64,,-0.31,151945.0,10.22,,0.01,18.6 to 21.0,20.5,"1,008",95.48411297816654,14393.18804213047,140841.05589514936
South Dakota,2017,State,46.0,South Dakota,,Totals,Overall,3341.0,2526.0,204028.0,4277447.0,4.77,,-0.32,33219.0,16.28,,-0.7,6.9 to 11.0,8.5,73,1.4538160480579805,661.5659630196994,4063.2764473037487
Tennessee,2017,State,47.0,Tennessee,,Totals,Overall,24842.0,19206.0,2741235.0,41010711.0,6.68,,-0.32,328879.0,12.0,,-1.15,21.1 to 57.0,26.6,"1,776",203.46719091546487,37677.976509621156,314049.2033159653
Texas,2017,State,48.0,Texas,,Totals,Overall,73744.0,54501.0,5052520.0,94350967.0,5.36,,-0.15,447199.0,8.85,,-0.12,6.9 to 11.0,10.5,"2,989",44.553429011660654,6665.857778717174,75311.84046503704
Utah,2017,State,49.0,Utah,,Totals,Overall,8756.0,6834.0,568307.0,7820739.0,7.27,,-0.26,83087.0,14.62,,-0.27,21.1 to 57.0,22.3,650,2.297203494025309,293.64268724320135,2008.4874247369871
Vermont,2017,State,50.0,Vermont,,Totals,Overall,2739.0,1922.0,132847.0,2727367.0,4.87,,-0.58,28488.0,21.44,,-0.83,21.1 to 57.0,23.2,134,4.321128188525019,918.6589539903039,4283.94713776853
Virginia,2017,State,51.0,Virginia,,Totals,Overall,26554.0,19744.0,1536652.0,31548238.0,4.87,,-0.5,181819.0,11.83,,0.16,16.1 to 18.5,17.9,"1,507",241.3733454633984,29121.60603769717,246122.65033379034
Washington,2017,State,53.0,Washington,,Totals,Overall,26755.0,19842.0,1553732.0,24286370.0,6.4,,-0.32,240367.0,15.47,,-0.78,13.6 to 16.0,15.2,"1,169",13.812110633470182,2840.013341860845,18357.842838975957
West Virginia,2017,State,54.0,West Virginia,,Totals,Overall,7363.0,5080.0,626187.0,12779461.0,4.9,,-0.4,52542.0,8.39,,-0.27,21.1 to 57.0,57.8,974,13.120739632527687,707.792506953049,8435.355840116648
Wisconsin,2017,State,55.0,Wisconsin,,Totals,Overall,21560.0,16103.0,1343705.0,26288096.0,5.11,,-0.48,215180.0,16.01,,-0.96,21.1 to 57.0,21.2,"1,177",64.77696251631808,11842.571617894073,73951.68089888629
Wyoming,2017,State,56.0,Wyoming,,Totals,Overall,1817.0,1401.0,103269.0,1830610.0,5.64,,-0.31,14952.0,14.48,,-0.46,11.1 to 13.5,12.2,69,1.191671562882436,258.23004649591564,1783.517835178352
